2026-04-22 09:32:06.024 INFO  com.hamradio.jhub.JHubMain — === j-Hub starting  [WM3j ARS Suite] ===
2026-04-22 09:32:06.180 INFO  com.hamradio.jhub.ConfigManager — Configuration loaded from /home/mike/ARS_Suite/j-hub/j-hub.json
2026-04-22 09:32:06.181 INFO  com.hamradio.jhub.JHubMain — Config loaded — WS port 8080, web port 8081
2026-04-22 09:32:06.219 INFO  com.hamradio.jhub.SpotEnricher — DXCC prefix table loaded: 452 entries
2026-04-22 09:32:06.226 INFO  com.hamradio.jhub.JHubMain — WebSocket server listening on port 8080
2026-04-22 09:32:06.240 INFO  com.hamradio.jhub.JHubServer — JHubServer WebSocket listener started
2026-04-22 09:32:06.410 INFO  com.hamradio.jhub.WebConfigServer — Web config server started on port 8081
2026-04-22 09:32:06.411 INFO  com.hamradio.jhub.JHubMain — Web config UI at http://localhost:8081
2026-04-22 09:32:06.413 INFO  com.hamradio.jhub.JHubMain — Cluster autoConnect disabled — use Web Config UI to connect
2026-04-22 09:32:06.420 INFO  com.hamradio.jhub.JHubDiscovery — J-Hub discovery beacon started on UDP port 9999
2026-04-22 09:32:06.429 INFO  com.hamradio.jhub.AppLauncher — Launched 'logging-engine' (pid 67987) — bash /home/mike/ARS_Suite/j-log/j-log.sh --engine-only
2026-04-22 09:32:06.430 INFO  com.hamradio.jhub.JHubMain — Logging engine started (engine-only — j-log not auto-launching)
2026-04-22 09:32:06.434 INFO  com.hamradio.jhub.AppLauncher — Launched 'j-sat' (pid 67992) — bash /home/mike/ARS_Suite/j-sat/j-sat.sh --launched-by-hub
2026-04-22 09:32:06.438 INFO  com.hamradio.jhub.JHubMain — Rig backend is 'NONE' — Hamlib rig controller not started
2026-04-22 09:32:06.440 INFO  com.hamradio.jhub.JHubMain — Rotor backend is 'NONE' — Hamlib rotor controller not started
2026-04-22 09:32:06.943 INFO  com.hamradio.jhub.JHubMain — === j-Hub ready ===
2026-04-22 09:32:08.633 DEBUG com.hamradio.jhub.WeatherService — Proton fetch: HTTP 404
2026-04-22 09:32:08.640 DEBUG com.hamradio.jhub.WeatherService — Weather data refreshed
2026-04-22 09:32:17.048 INFO  com.hamradio.jhub.JHubServer — New connection from /[0:0:0:0:0:0:0:1]:42330
2026-04-22 09:32:17.090 DEBUG com.hamradio.jhub.WebConfigServer — J-Sat TLE API unreachable on port 4540: Connection refused
2026-04-22 09:32:17.188 INFO  com.hamradio.jhub.JHubServer — App registered: webconfig v1.0.0
2026-04-22 09:32:17.211 DEBUG com.hamradio.jhub.JHubServer — State replayed to 'webconfig'
2026-04-22 09:32:28.579 INFO  com.hamradio.jhub.JHubServer — New connection from /127.0.0.1:36954
2026-04-22 09:32:28.609 INFO  com.hamradio.jhub.JHubServer — App registered: j-sat v1.0.0
2026-04-22 09:32:28.620 DEBUG com.hamradio.jhub.JHubServer — State replayed to 'j-sat'
2026-04-22 09:32:37.599 INFO  com.hamradio.jhub.JHubServer — New connection from /127.0.0.1:36868
2026-04-22 09:32:37.605 INFO  com.hamradio.jhub.JHubServer — App registered: logging-engine v1.0.0
2026-04-22 09:32:37.606 DEBUG com.hamradio.jhub.JHubServer — State replayed to 'logging-engine'
2026-04-22 09:32:40.572 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:32:41.568 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:32:42.569 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:32:43.566 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:32:44.566 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:32:45.567 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:32:46.565 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:32:47.568 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:32:48.567 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:32:49.569 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:32:50.568 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:32:51.566 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:32:52.567 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:32:53.566 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:32:54.569 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:32:55.566 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:32:56.566 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:32:57.570 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:32:58.566 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:32:59.566 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:33:00.566 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:33:01.568 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:33:02.568 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:33:03.569 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:33:04.566 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:33:05.565 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:33:06.565 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:33:07.566 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:33:08.566 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:33:09.565 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:33:10.566 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:33:11.565 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:33:12.566 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:33:13.565 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:33:14.566 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:33:15.566 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:33:16.566 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:33:17.565 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:33:18.566 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:33:19.566 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:33:20.567 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:33:21.566 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:33:22.566 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:33:23.569 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:33:24.567 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:33:25.566 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:33:26.566 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:33:27.566 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:33:28.565 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:33:29.567 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:33:30.566 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:33:31.566 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:33:32.567 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:33:33.566 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:33:34.565 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:33:35.565 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:33:36.565 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:33:37.566 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:33:38.565 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:33:39.567 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:33:40.567 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:33:41.565 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
